actual_flight_time,flight_id
25.0,29807
25.0,29808
25.0,29809
25.0,29810
25.0,29811
25.0,29812
25.0,29813
26.0,29814
25.0,29815
25.0,29816
0,29817
0,29818
25.0,29819
25.0,29820
25.0,29821
25.0,29822
25.0,29823
25.0,29824
25.0,29825
25.0,29826
25.0,29827
25.0,29828
25.0,29829
25.0,29830
25.0,29831
25.0,29832
25.0,29833
25.0,29834
25.0,29835
25.0,29836
0,29837
25.0,29838
25.0,29839
25.0,29840
25.0,29841
25.0,29842
25.0,29843
25.0,29844
25.0,29845
25.0,29846
25.0,29847
25.0,29848
25.0,29849
0,2985
25.0,29851
25.0,29852
25.0,29853
25.0,29854
25.0,29855
0,29856
0,29857
0,29858
25.0,29859
25.0,29860
25.0,29861
25.0,29862
25.0,29863
25.0,29864
25.0,29865
25.0,29866
25.0,29867
0,29868
25.0,29869
25.0,29870
25.0,29871
25.0,29872
25.0,29873
25.0,29874
25.0,29875
25.0,29876
25.0,29877
25.0,29878
0,30419
25.0,29879
25.0,29880
25.0,29881
25.0,29882
25.0,29883
24.0,29884
25.0,29885
25.0,29886
25.0,29887
25.0,29888
25.0,29889
25.0,29890
25.0,29891
25.0,29892
25.0,29893
25.0,29894
25.0,29895
25.0,29896
25.0,29897
24.0,29898
25.0,29899
0,299
0,29901
0,29902
25.0,29903
25.0,29904
25.0,29905
25.0,29906
25.0,29907
25.0,29908
25.0,29909
25.0,29910
25.0,29911
25.0,29912
25.0,29913
25.0,29914
25.0,29915
25.0,29916
26.0,29917
25.0,29918
25.0,29919
25.0,29920
25.0,29921
25.0,29922
26.0,29923
25.0,29924
25.0,29925
25.0,29926
25.0,29927
25.0,29928
25.0,29929
25.0,29930
25.0,29931
25.0,29932
25.0,29933
25.0,29934
25.0,29935
25.0,29936
25.0,29937
25.0,29938
25.0,29939
25.0,29940
25.0,29941
24.0,29942
25.0,29943
24.0,29944
25.0,29945
25.0,29946
25.0,29947
25.0,29948
25.0,29949
25.0,29950
25.0,29951
25.0,29952
25.0,29953
25.0,29954
25.0,29955
25.0,29956
25.0,29957
25.0,29958
0,29959
25.0,29960
0,29961
0,29962
25.0,29963
25.0,29964
25.0,29965
25.0,29966
25.0,29967
25.0,29968
25.0,29969
25.0,29970
25.0,29971
25.0,29972
25.0,29973
25.0,29974
25.0,29975
25.0,29976
25.0,29977
25.0,29978
25.0,29979
25.0,29980
25.0,29981
25.0,29982
25.0,29983
25.0,29984
0,29985
25.0,29988
25.0,29989
25.0,29990
25.0,29991
25.0,29992
25.0,29993
25.0,29994
25.0,29995
25.0,29996
25.0,29997
25.0,29998
25.0,29999
25.0,30000
25.0,30001
25.0,30002
