flight_id,People_on_a_board,average_sum
2,94,848600.00
3,97,920100.00
7,101,974100.00
8,94,872800.00
9,116,1021400.00
10,95,907900.00
11,100,861000.00
12,91,824900.00
14,97,839100.00
15,90,779500.00
18,95,877100.00
19,88,818700.00
22,102,925800.00
24,82,686600.00
26,131,1149700.00
27,116,1075800.00
30,99,828900.00
31,104,913800.00
32,106,901200.00
41,121,1108700.00
42,92,846100.00
43,90,858700.00
45,93,813500.00
46,93,854600.00
49,95,825100.00
50,97,918900.00
51,101,893700.00
53,96,926100.00
58,94,779100.00
60,105,945900.00
63,103,960300.00
64,96,858400.00
66,93,852800.00
69,105,892100.00
72,110,980000.00
74,94,768200.00
78,85,813700.00
80,118,1061400.00
82,93,879400.00
83,94,819600.00
84,109,962400.00
85,91,814000.00
89,106,915700.00
90,102,928200.00
91,116,1074000.00
93,96,848100.00
96,100,913600.00
98,92,793500.00
99,103,920400.00
100,104,913200.00
101,110,1035000.00
102,91,813400.00
105,118,1115200.00
106,99,891200.00
108,96,872900.00
110,102,980800.00
111,90,808500.00
114,85,732700.00
115,98,874200.00
116,90,872000.00
117,98,900800.00
126,96,886800.00
127,96,808200.00
128,122,1048300.00
132,104,874500.00
133,94,926000.00
134,93,878200.00
135,121,1042800.00
138,102,872600.00
139,93,880600.00
140,101,865900.00
143,114,997100.00
144,93,774200.00
147,93,813500.00
150,114,993500.00
151,99,841600.00
152,98,860900.00
154,91,879900.00
159,106,886100.00
160,95,893400.00
161,98,885700.00
162,97,918900.00
165,101,867100.00
166,104,940400.00
170,91,759000.00
171,95,814800.00
172,99,880900.00
173,98,912300.00
176,99,813800.00
179,90,792800.00
180,100,911800.00
183,99,893600.00
184,98,913500.00
185,98,834900.00
186,108,1008900.00
188,99,854900.00
194,105,921700.00
199,100,926900.00
200,101,868300.00
201,129,1163500.00
202,98,859700.00
207,122,1061600.00
208,18,135100.00
209,96,885000.00
212,117,1056500.00
213,98,794400.00
214,95,851100.00
215,116,982700.00
218,93,800800.00
219,98,792000.00
221,100,859200.00
223,100,953500.00
224,100,899100.00
225,99,960100.00
226,103,908300.00
230,95,827500.00
231,106,942300.00
234,100,913000.00
235,95,881900.00
237,109,963600.00
238,94,873400.00
239,94,819600.00
241,102,928200.00
242,87,800500.00
247,115,1053400.00
248,97,864500.00
252,90,740200.00
253,91,800100.00
254,96,805800.00
256,124,1113700.00
258,92,846100.00
259,95,812400.00
263,105,919900.00
264,92,806200.00
265,98,862700.00
267,93,879400.00
269,100,834400.00
271,116,1008700.00
273,111,1054400.00
281,101,907000.00
283,86,753900.00
286,113,1015200.00
287,93,866700.00
291,110,969100.00
292,101,922100.00
293,93,852800.00
295,100,899700.00
300,100,835600.00
301,98,874800.00
303,14,122800.00
304,104,966400.00
307,100,913000.00
308,94,848000.00
314,98,899600.00
316,95,868600.00
317,97,894100.00
319,104,913800.00
321,86,753300.00
322,6,54700.00
329,100,873700.00
330,109,986600.00
331,95,813000.00
332,90,765600.00
333,115,1068500.00
336,95,893400.00
337,95,906700.00
340,90,859300.00
341,92,872700.00
342,131,1107400.00
343,115,999600.00
346,86,779900.00
352,97,838500.00
353,101,840500.00
354,95,786400.00
355,96,820300.00
356,87,786000.00
358,89,732300.00
359,116,1048600.00
362,122,1074900.00
363,98,832500.00
364,98,925000.00
365,121,1042800.00
366,94,832300.00
373,3,20100.00
374,83,720500.00
376,106,1007600.00
377,91,812800.00
378,102,939700.00
381,93,800800.00
383,88,780000.00
384,116,1076400.00
388,100,846500.00
389,95,827500.00
393,92,820700.00
394,96,886200.00
399,98,900200.00
400,97,812500.00
401,94,817800.00
404,102,886500.00
405,91,811600.00
406,98,859100.00
407,107,893400.00
410,93,866700.00
413,97,854800.00
414,94,832900.00
415,103,921000.00
416,116,1048600.00
417,110,953400.00
422,101,867700.00
423,97,853600.00
424,96,900700.00
425,95,840800.00
430,123,1094900.00
432,93,759700.00
433,97,879600.00
435,90,791000.00
436,112,995200.00
441,98,899600.00
443,99,946800.00
444,92,792300.00
445,94,832300.00
446,103,959100.00
447,92,884800.00
448,93,838300.00
451,94,821400.00
453,100,873700.00
454,91,775900.00
455,95,920600.00
457,100,940800.00
460,99,840400.00
461,94,846800.00
463,112,1061100.00
468,99,828300.00
469,88,766100.00
473,103,867200.00
474,98,888100.00
475,101,893700.00
476,111,1013300.00
477,4,40700.00
478,22,200600.00
481,95,839000.00
482,85,730900.00
483,92,872100.00
484,97,842100.00
485,110,981800.00
486,98,873600.00
487,99,894200.00
495,114,1047300.00
496,99,827100.00
500,110,954600.00
502,105,959800.00
503,92,861200.00
507,96,901300.00
508,99,946800.00
511,96,835400.00
515,108,1048200.00
517,95,853500.00
518,126,1076300.00
519,123,1093700.00
521,102,887100.00
522,98,833100.00
523,105,961000.00
525,94,846200.00
528,96,900700.00
529,101,893700.00
534,114,1021900.00
535,98,911100.00
536,97,852400.00
538,96,834200.00
539,101,933600.00
540,95,841400.00
542,92,792300.00
543,95,878300.00
544,90,846000.00
547,93,812300.00
549,94,819600.00
550,100,847100.00
551,100,966200.00
552,98,873600.00
557,90,807300.00
561,95,800900.00
563,113,1001900.00
564,108,967800.00
567,95,837800.00
568,100,928100.00
570,109,974500.00
573,100,926900.00
574,96,806400.00
575,95,838400.00
576,99,838000.00
577,92,793500.00
578,101,879800.00
583,103,961500.00
584,96,913400.00
585,105,893900.00
588,92,832200.00
589,96,899500.00
594,108,900100.00
595,104,954300.00
598,95,839600.00
599,98,872400.00
600,81,759100.00
601,100,887000.00
604,104,980300.00
605,89,760100.00
606,94,792400.00
613,115,961500.00
614,86,766000.00
618,81,746400.00
623,101,892500.00
624,94,819600.00
625,99,882100.00
626,111,1038700.00
628,106,1007600.00
630,96,872300.00
632,110,943100.00
634,91,826700.00
637,94,847400.00
638,124,1139700.00
639,112,967400.00
641,105,958600.00
642,53,449400.00
645,113,960800.00
646,96,898900.00
649,111,987900.00
651,96,874100.00
652,107,973200.00
653,105,895100.00
656,116,1032900.00
661,102,888900.00
662,95,854700.00
663,93,839500.00
664,91,799500.00
666,92,808000.00
668,46,443000.00
669,83,707200.00
670,96,819700.00
672,98,833100.00
673,116,1007500.00
674,96,872900.00
676,97,945500.00
681,97,894100.00
683,102,901000.00
685,108,1008300.00
686,96,872300.00
687,86,806500.00
688,96,845700.00
689,5,33500.00
690,105,1000300.00
692,99,919000.00
694,89,773400.00
697,98,913500.00
698,94,806900.00
700,96,860800.00
703,93,802000.00
706,104,925900.00
707,96,859600.00
710,119,1040900.00
711,98,886900.00
714,95,854100.00
715,99,856100.00
718,103,853900.00
719,100,859200.00
720,104,874500.00
723,87,773900.00
726,91,826100.00
727,92,807400.00
728,103,961500.00
729,104,915000.00
730,99,892400.00
731,98,911100.00
733,102,913100.00
734,102,926400.00
737,87,773300.00
738,95,814200.00
742,93,773000.00
743,102,914300.00
746,93,855200.00
748,98,845200.00
752,93,854600.00
753,109,975700.00
757,105,905400.00
758,93,877600.00
762,90,791600.00
765,111,946800.00
766,95,866200.00
767,108,995000.00
778,96,887400.00
779,108,979900.00
780,100,927500.00
781,90,792200.00
782,92,806800.00
786,105,961600.00
787,99,934700.00
789,111,1041700.00
